date,home_team,away_team,tournament,neutral,outcome,home_games_played,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_games_played,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,home_elo,away_elo,elo_difference
1990-01-29,Thailand,Kenya,King's Cup,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-02,Colombia,Uruguay,Miami Cup,True,L,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-02,Indonesia,Kenya,King's Cup,True,L,0,0.5,0.2,1.0,1.0,1,0.0,0.0,1.0,2.0,1500.0,1484.0,16.0
1990-02-02,United States,Costa Rica,Miami Cup,False,L,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-04,Costa Rica,Uruguay,Miami Cup,True,L,1,1.0,0.0,2.0,0.0,1,1.0,0.0,2.0,0.0,1516.0,1516.0,0.0
1990-02-04,South Korea,Norway,Malta International Tournament,True,L,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-04,United States,Colombia,Miami Cup,False,D,1,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,2.0,1484.0,1484.0,0.0
1990-02-05,Thailand,Indonesia,King's Cup,False,D,1,1.0,0.0,2.0,1.0,1,0.0,0.0,2.0,3.0,1516.0,1483.263693206478,32.73630679352209
1990-02-07,Malta,Norway,Malta International Tournament,False,D,0,0.5,0.2,1.0,1.0,1,1.0,0.0,3.0,2.0,1500.0,1516.0,-16.0
1990-02-10,Malta,South Korea,Malta International Tournament,False,L,1,0.0,1.0,1.0,1.0,1,0.0,0.0,2.0,3.0,1500.736306793522,1484.0,16.73630679352209
1990-02-20,Colombia,Russia,Marlboro Cup,True,D,2,0.0,0.5,0.5,1.5,0,0.5,0.2,1.0,1.0,1484.0,1500.0,-16.0
1990-02-21,Kuwait,Bahrain,Gulf Cup,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-22,Costa Rica,Russia,Marlboro Cup,True,L,2,0.5,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,1500.0,1499.263693206478,0.7363067935220897
1990-02-22,Oman,United Arab Emirates,Gulf Cup,True,D,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-02-23,Qatar,Bahrain,Gulf Cup,True,D,0,0.5,0.2,1.0,1.0,1,0.0,0.0,0.0,1.0,1500.0,1484.0,16.0
1990-02-24,Kuwait,Oman,Gulf Cup,False,D,1,1.0,0.0,1.0,0.0,1,0.0,1.0,1.0,1.0,1516.0,1500.0,16.0
1990-02-27,Qatar,United Arab Emirates,Gulf Cup,True,D,1,0.0,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1499.263693206478,1500.0,-0.7363067935220897
1990-03-01,Bahrain,Oman,Gulf Cup,True,D,2,0.0,0.5,0.0,0.5,2,0.0,1.0,1.0,1.0,1484.736306793522,1500.736306793522,-16.0
1990-03-02,Algeria,Nigeria,African Cup of Nations,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-03-02,Ivory Coast,Egypt,African Cup of Nations,True,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-03-03,Cameroon,Zambia,African Cup of Nations,True,L,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-03-03,Senegal,Kenya,African Cup of Nations,True,D,0,0.5,0.2,1.0,1.0,2,0.5,0.0,2.0,2.0,1500.0,1500.736306793522,-0.7363067935220897
1990-03-04,Oman,Qatar,Gulf Cup,True,L,3,0.0,1.0,0.6666666666666666,0.6666666666666666,2,0.0,1.0,0.0,0.0,1500.0,1499.2976013366472,0.7023986633528239
1990-03-05,Algeria,Ivory Coast,African Cup of Nations,False,W,1,1.0,0.0,5.0,1.0,1,1.0,0.0,3.0,1.0,1516.0,1516.0,0.0
1990-03-05,Bahrain,United Arab Emirates,Gulf Cup,True,W,3,0.0,0.6666666666666666,0.0,0.3333333333333333,2,0.0,1.0,0.5,0.5,1485.4726135870442,1499.9660918698307,-14.493478282786555
1990-03-05,Nigeria,Egypt,African Cup of Nations,True,W,1,0.0,0.0,1.0,5.0,1,0.0,0.0,1.0,3.0,1484.0,1484.0,0.0
1990-03-06,Zambia,Kenya,African Cup of Nations,True,W,1,1.0,0.0,1.0,0.0,3,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1516.0,1500.7023986633528,15.297601336647176
1990-03-06,Cameroon,Senegal,African Cup of Nations,True,L,1,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1484.0,1500.0339081301693,-16.033908130169266
1990-03-07,Kuwait,Qatar,Gulf Cup,False,W,2,0.5,0.5,1.0,0.5,3,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1515.263693206478,1515.3299479464104,-0.06625473993244668
1990-03-08,Algeria,Egypt,African Cup of Nations,False,W,2,1.0,0.0,4.0,0.5,2,0.0,0.0,0.5,2.0,1532.0,1468.0,64.0
1990-03-08,Nigeria,Ivory Coast,African Cup of Nations,True,W,2,0.5,0.0,1.0,2.5,2,0.5,0.0,1.5,2.0,1500.0,1500.0,0.0
1990-03-09,Cameroon,Kenya,African Cup of Nations,True,W,2,0.0,0.0,0.0,1.5,4,0.25,0.25,1.0,1.25,1468.7378650066732,1485.4064243463295,-16.668559339656213
1990-03-09,Kuwait,United Arab Emirates,Gulf Cup,False,W,3,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1531.266744349971,1483.2990294226083,47.96771492736275
1990-03-09,Zambia,Senegal,African Cup of Nations,True,D,2,1.0,0.0,1.0,0.0,2,0.5,0.5,1.0,0.0,1531.2959743170234,1515.296043123496,15.999931193527345
1990-03-12,Algeria,Senegal,African Cup of Nations,False,W,3,1.0,0.0,3.3333333333333335,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1545.0855809179218,1516.0323467550734,29.053234162848412
1990-03-12,Nigeria,Zambia,African Cup of Nations,True,W,3,0.6666666666666666,0.0,1.0,1.6666666666666667,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1516.0,1530.559670685446,-14.559670685446008
1990-03-15,Senegal,Zambia,African Cup of Nations,True,L,4,0.25,0.5,0.75,0.5,4,0.5,0.25,0.5,0.5,1501.3671877338497,1513.8895652880635,-12.52237755421379
1990-03-16,Algeria,Nigeria,African Cup of Nations,False,W,4,1.0,0.0,3.0,0.5,4,0.75,0.0,1.25,1.25,1559.7507399391454,1532.6701053973825,27.080634541762947
1990-03-31,Guernsey,Alderney,Muratti Vase,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-05-04,Colombia,Poland,Marlboro Cup,True,W,3,0.0,0.6666666666666666,0.3333333333333333,1.0,0,0.5,0.2,1.0,1.0,1484.736306793522,1500.0,-15.26369320647791
1990-05-06,Costa Rica,Poland,Marlboro Cup,True,L,3,0.3333333333333333,0.0,1.0,1.3333333333333333,1,0.0,0.0,1.0,2.0,1483.9660918698307,1483.2975328274754,0.6685590423553549
1990-05-07,Jersey,Guernsey,Muratti Vase,False,W,0,0.5,0.2,1.0,1.0,1,1.0,0.0,4.0,0.0,1500.0,1516.0,-16.0
1990-05-13,Canada,Mexico,NAFU Championship,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-05-18,Mauritania,Gambia,African Cup of Nations qualification,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-05-30,Iceland,Albania,UEFA Euro qualification,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-06-03,Gambia,Mauritania,African Cup of Nations qualification,False,W,1,0.0,0.0,0.0,2.0,1,1.0,0.0,2.0,0.0,1484.0,1516.0,-32.0
1990-06-08,Argentina,Cameroon,FIFA World Cup,True,L,0,0.5,0.2,1.0,1.0,3,0.3333333333333333,0.0,0.6666666666666666,1.0,1500.0,1485.5048921349214,14.49510786507858
1990-06-09,Italy,Austria,FIFA World Cup,False,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-06-09,Russia,Romania,FIFA World Cup,True,L,2,0.5,0.5,1.0,0.5,0,0.5,0.2,1.0,1.0,1515.2976013366472,1500.0,15.297601336647176
1990-06-09,United Arab Emirates,Colombia,FIFA World Cup,True,L,4,0.0,0.5,0.5,2.0,4,0.25,0.5,0.75,1.0,1469.4940951824813,1501.4387739660467,-31.94467878356545
1990-06-10,Brazil,Sweden,FIFA World Cup,True,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-06-10,Germany,Yugoslavia,FIFA World Cup,True,W,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-06-10,United States,Czechoslovakia,FIFA World Cup,True,L,2,0.0,0.5,0.5,1.5,0,0.5,0.2,1.0,1.0,1484.0,1500.0,-16.0
1990-06-11,England,Republic of Ireland,FIFA World Cup,True,D,0,0.5,0.2,1.0,1.0,0,0.5,0.2,1.0,1.0,1500.0,1500.0,0.0
1990-06-11,Costa Rica,Scotland,FIFA World Cup,True,W,4,0.25,0.0,0.75,1.5,0,0.5,0.2,1.0,1.0,1467.9353036261375,1500.0,-32.06469637386249
1990-06-12,Belgium,South Korea,FIFA World Cup,True,W,0,0.5,0.2,1.0,1.0,2,0.5,0.0,2.0,2.0,1500.0,1500.7701398146428,-0.7701398146427891
1990-06-12,Netherlands,Egypt,FIFA World Cup,True,D,0,0.5,0.2,1.0,1.0,3,0.0,0.0,0.3333333333333333,2.0,1500.0,1454.9144190820782,45.08558091792179
1990-06-13,Argentina,Russia,FIFA World Cup,True,W,1,0.0,0.0,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1483.3328626381956,1498.5935756536705,-15.260713015474948
1990-06-13,Uruguay,Spain,FIFA World Cup,True,D,2,1.0,0.0,2.0,0.0,0,0.5,0.2,1.0,1.0,1532.0,1500.0,32.0
1990-06-14,Cameroon,Romania,FIFA World Cup,True,W,4,0.5,0.0,0.75,0.75,1,1.0,0.0,2.0,0.0,1502.1720294967258,1516.7040256829766,-14.531996186250808
1990-06-14,Italy,United States,FIFA World Cup,False,W,1,1.0,0.0,1.0,0.0,3,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,1516.0,1468.736306793522,47.26369320647791
1990-06-14,Yugoslavia,Colombia,FIFA World Cup,True,W,1,0.0,0.0,1.0,4.0,5,0.4,0.4,1.0,0.8,1484.0,1515.9717986201038,-31.971798620103755
1990-06-15,Germany,United Arab Emirates,FIFA World Cup,True,W,1,1.0,0.0,4.0,1.0,5,0.0,0.4,0.4,2.0,1516.0,1454.9610705284242,61.038929471575784
1990-06-15,Austria,Czechoslovakia,FIFA World Cup,True,L,1,0.0,0.0,0.0,1.0,1,1.0,0.0,5.0,1.0,1484.0,1515.263693206478,-31.26369320647791
1990-06-16,Brazil,Costa Rica,FIFA World Cup,True,W,1,1.0,0.0,2.0,1.0,5,0.4,0.0,0.8,1.2,1516.0,1485.4077593507513,30.59224064924865
1990-06-16,England,Netherlands,FIFA World Cup,True,D,1,0.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1500.0,1497.935308670844,2.0646913291559486
1990-06-16,Sweden,Scotland,FIFA World Cup,True,L,1,0.0,0.0,1.0,2.0,1,0.0,0.0,0.0,1.0,1484.0,1482.5275442753862,1.4724557246138374
1990-06-17,Belgium,Uruguay,FIFA World Cup,True,W,1,1.0,0.0,2.0,0.0,3,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,1516.0354661910467,1530.5304984710244,-14.49503227997775
1990-06-17,Republic of Ireland,Egypt,FIFA World Cup,True,D,1,0.0,1.0,1.0,1.0,4,0.0,0.25,0.5,1.75,1500.0,1456.9791104112342,43.02088958876584
1990-06-17,South Korea,Spain,FIFA World Cup,True,L,3,0.3333333333333333,0.0,1.3333333333333333,2.0,1,0.0,1.0,0.0,0.0,1484.734673623596,1501.4695015289756,-16.73482790537946
1990-06-18,Cameroon,Russia,FIFA World Cup,True,L,5,0.6,0.0,1.0,0.8,4,0.25,0.25,0.5,1.25,1518.8408626675657,1481.8912454595186,36.94961720804713
1990-06-18,Argentina,Romania,FIFA World Cup,True,D,2,0.5,0.0,1.0,0.5,2,0.5,0.0,1.5,1.0,1500.0351928323475,1500.0351925121367,3.202108018740546e-07
1990-06-19,Yugoslavia,United Arab Emirates,FIFA World Cup,True,W,2,0.5,0.0,1.0,2.0,6,0.0,0.3333333333333333,0.5,2.5,1501.4682137529344,1441.7434498641621,59.72476388877226
1990-06-19,Italy,Czechoslovakia,FIFA World Cup,False,W,2,1.0,0.0,1.0,0.0,2,1.0,0.0,3.0,0.5,1529.8367542202345,1529.8278203282016,0.00893389203292827
1990-06-19,Germany,Colombia,FIFA World Cup,True,D,2,1.0,0.0,4.5,1.0,6,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,1529.217620664262,1498.5035848671694,30.71403579709272
1990-06-19,Austria,United States,FIFA World Cup,True,W,2,0.0,0.0,0.0,1.0,4,0.0,0.25,0.5,2.25,1469.4358728782763,1454.8995525732876,14.536320304988749
1990-06-20,Brazil,Scotland,FIFA World Cup,True,W,2,1.0,0.0,1.5,0.5,2,0.5,0.0,1.0,1.0,1530.5948049063304,1498.5953529614428,31.999451944887596
1990-06-20,Sweden,Costa Rica,FIFA World Cup,True,L,2,0.0,0.0,1.0,2.0,6,0.3333333333333333,0.0,0.6666666666666666,1.1666666666666667,1467.9321913139433,1470.812954444421,-2.8807631304775896
1990-06-21,Belgium,Spain,FIFA World Cup,True,L,2,1.0,0.0,2.5,0.5,2,0.5,0.5,1.5,0.5,1532.70260007808,1516.6994296618723,16.003170416207695
1990-06-21,England,Egypt,FIFA World Cup,True,W,2,0.0,1.0,0.5,0.5,5,0.0,0.4,0.4,1.4,1499.9049185697477,1458.950231866201,40.95468670354671
1990-06-21,Republic of Ireland,Netherlands,FIFA World Cup,True,D,2,0.0,1.0,0.5,0.5,2,0.0,1.0,0.5,0.5,1498.0288785450332,1498.0303901010964,-0.001511556063178432
1990-06-21,South Korea,Uruguay,FIFA World Cup,True,L,4,0.25,0.0,1.25,2.25,4,0.5,0.25,1.25,0.75,1469.5047454906994,1513.8633645839911,-44.358619093291736
1990-06-23,Czechoslovakia,Costa Rica,FIFA World Cup,True,W,3,0.6666666666666666,0.0,2.0,1.0,7,0.42857142857142855,0.0,0.8571428571428571,1.1428571428571428,1513.828231749134,1486.6802934396978,27.147938309436086
1990-06-23,Cameroon,Colombia,FIFA World Cup,True,W,6,0.5,0.0,0.8333333333333334,1.3333333333333333,7,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.8571428571428571,1501.1456561546647,1499.914345400867,1.231310753797743
1990-06-24,Brazil,Argentina,FIFA World Cup,True,L,3,1.0,0.0,1.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1545.1253284033319,1500.0351928176012,45.09013558573065
1990-06-24,Germany,Netherlands,FIFA World Cup,True,W,3,0.6666666666666666,0.3333333333333333,3.3333333333333335,1.0,3,0.0,1.0,0.6666666666666666,0.6666666666666666,1527.8068601305645,1498.030320491367,29.77653963919738
1990-06-25,Republic of Ireland,Romania,FIFA World Cup,True,D,3,0.0,1.0,0.6666666666666666,0.6666666666666666,3,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1498.0289481547625,1500.035192526883,-2.006244372120591
1990-06-25,Italy,Uruguay,FIFA World Cup,False,W,3,1.0,0.0,1.3333333333333333,0.0,5,0.6,0.2,1.2,0.6,1545.8363427993022,1527.831602449234,18.004740350068232
1990-06-26,England,Belgium,FIFA World Cup,True,W,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,3,0.6666666666666666,0.0,2.0,1.0,1514.0275727453065,1515.9661475907574,-1.9385748454508303
1990-06-26,Spain,Yugoslavia,FIFA World Cup,True,L,3,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,3,0.6666666666666666,0.0,2.0,1.6666666666666667,1533.4358821491949,1514.7445621703325,18.69131997886234
1990-06-30,Yugoslavia,Argentina,FIFA World Cup,True,D,4,0.75,0.0,2.0,1.5,4,0.5,0.25,1.0,0.5,1531.6044998095247,1518.1000904038206,13.50440940570411
1990-06-30,Italy,Republic of Ireland,FIFA World Cup,False,W,4,1.0,0.0,1.5,0.0,4,0.0,1.0,0.5,0.5,1561.0079352946427,1498.121338095561,62.886597199081734
